"resultNumber","lemma","senseNumber","snippet"
"487","aanvoerder","6.0","aanvoerende spier; adductor"
"488","aanvoerdersband","0.0",""
"489","aanvoerhaven","1.0",""
"490","aanvoering","1.0",""
"491","aanvoerroute","1.0",""
"492","aanvoerster","1.0",""
"493","aanvoertroep","0.0",""
"494","aanvoerweg","1.0",""
"495","aanvraag","1.0",""
"496","aanvraagprocedure","1.0",""
"497","aanvrager","1.0","aanvragende persoon"
"498","aanvrager","1.1","aanvragende instantie"
"499","aanvulling","1.0",""
"500","aanvullingsregeling","0.0",""
"501","aanvuring","0.0",""
"502","aanwakkering","0.0",""
"503","aanwas","1.0",""
"504","aanwending","1.0",""
"505","aanwerving","1.0",""
"506","aanwervingspremie","1.0","premie bij aanwerving werknemers"
"507","aanwervingsstop","1.0","vacaturestop"
"508","aanwezige","1.0",""
"509","aanwezigheid","1.0",""
"510","aanwezigheidslijst","1.0","presentielijst"
"511","aanwezigheidspolitiek","0.0",""
"512","aanwijsplaats","1.0","recht op deelneming aan een sportwedstrijd"
"513","aanwijsplek","1.0","aanwijsplaats"
"514","aanwijsstok","1.0",""
"515","aanwijzer","1.0",""
"516","aanwijzing","1.0",""
"517","aanwijzingsbevoegdheid","0.0",""
"518","aanwinst","1.0",""
"519","aanwonende","1.0","iemand die aan een weg of water woont"
"520","aanzegger","0.0",""
"521","aanzegging","1.0",""
"522","aanzet","1.0",""
"523","aanzetter","0.0",""
"524","aanzetting","1.0",""
"525","aanzuiging","0.0",""
"526","aanzuivering","1.0",""
"527","aap/AAP","1.0","hoogontwikkeld zoogdier"
"528","aap/AAP","1.1","soort van de apen"
"529","aap/AAP","1.2","apenvlees"
"530","aap/AAP","2.0","primitieve man"
"531","aap/AAP","3.0","kind"
"532","aap/AAP","4.0","nabootser"
"533","aap/AAP","5.0","klein zeil"
"534","aap/AAP","6.0","worp met een dobbelsteen"
"535","aap/AAP","7.0","Chinees dierenriemteken"
"536","aap/AAP","7.1","geborene in een apenjaar"
"537","aapachtige","1.0","op een aap lijkend wezen"
"538","aapmens","1.0",""
"539","aar","1.0",""
"540","aard","1.0","geheel van eigenschappen"
"541","aard","2.0","soort"
"542","aardappel","1.0","eetbare knol van de aardappelplant"
"543","aardappel","2.0","aardappelplant"
"544","aardappelbloem","1.0","aardappelmeel"
"545","aardappelboer","1.0",""
"546","aardappelcampagne","0.0",""
"547","aardappelcupcake","1.0","cupcake met aardappel"
"548","aardappeleter","1.0",""
"549","aardappelkever","0.0",""
"550","aardappelkroket","1.0","gefrituurd rolletje aardappelpuree"
"551","aardappelmoeheid","0.0",""
"552","aardappeloogst","1.0",""
"553","aardappelplant","1.0",""
"554","aardappelprijs","1.0",""
"555","aardappelpuree","1.0","puree van aardappelen"
"556","aardappelsalade","1.0","salade van aardappelen"
"557","aardappelschil","1.0","schil van een aardappel"
"558","aardappelsla","1.0","salade van aardappelen"
"559","aardappelteelt","1.0","teelt van aardappelen"
"560","aardappelteelt","1.1","agrarische sector"
"561","aardappelteler","1.0","teler van aardappelen"
"562","aardappelzak","0.0",""
"563","aardappelzetmeel","2.0","aardappelzetmeelindustrie"
"564","aardappelziekte","1.0",""
"565","aardbaan","",""
"566","aardbei","1.0","vrucht van de aardbeiplant"
"567","aardbei","1.2","aardbeiensmaak"
