"resultNumber","lemma","senseNumber","snippet"
"9127","luchtkoker","1.0",""
"9128","luchtkussen","1.0",""
"9129","luchtkussenboot","1.0",""
"9130","luchtkussenvaartuig","0.0",""
"9131","luchtleiding","0.0",""
"9132","luchtpomp","1.0",""
"9133","luchtpostbrief","1.0","brief die per luchtpost verzonden is"
"9134","luchtschip","1.0",""
"9135","luchtslang","0.0",""
"9136","luchtstroom","1.0",""
"9137","luchttaxi","1.0","vliegtuig dat als taxi fungeert"
"9138","luchtvaart","1.0",""
"9139","luchtvaartgebied","1.0",""
"9140","luchtvaartmuseum","1.0",""
"9141","luchtvaartterrein","1.0",""
"9142","luchtvaartuig","1.0","vliegend voertuig"
"9143","luchtverdedigingsraket","0.0",""
"9144","luchtwaardigheidsbewijs","1.0","bewijs voor luchtwaardigheid"
"9145","luchtwaardigheidscertificaat","1.0","certificaat voor luchtwaardigheid"
"9146","luchtwapen","0.0",""
"9147","luchtwortel","0.0",""
"9148","lucifer","1.0",""
"9149","luciferdoosje","",""
"9150","luciferhoutje","",""
"9151","luier","1.0","kledingstuk om ontlasting in op te vangen"
"9152","luifeldak","1.0",""
"9153","luik","1.0","beweegbaar schot"
"9154","luik","2.0","vensterluik"
"9155","luik","3.0","rolluik"
"9156","luik","4.0","paneel van een schilderij"
"9157","luik","5.0","onderdeel van een formulier"
"9158","luisterboek","1.0","geluidsdrager met een voorgelezen boek"
"9159","luistercamera","1.0","camera die reageert op geluid"
"9160","luistertoestel","0.0",""
"9161","luit","1.0","historisch tokkelinstrument"
"9162","luiwagen","1.0","harde bezem"
"9163","luizenei","",""
"9164","luizenkam","0.0",""
"9165","lul","1.0",""
"9166","lunch","2.0","voedsel dat men tijdens de lunch eet"
"9167","lunchgerecht","1.0","gerecht tijdens de lunch"
"9168","lunchtrommel","1.0",""
"9169","lus","1.0",""
"9170","luster","1.0","hangende luchter"
"9171","lustprieel","0.0",""
"9172","luwte","1.0",""
"9173","luxeappartement","0.0",""
"9174","luxeartikel","0.0",""
"9175","luxeauto","1.0",""
"9176","luxe-editie","0.0",""
"9177","luxegoed","1.0",""
"9178","luxehotel","1.0",""
"9179","luxehut","0.0",""
"9180","luxeproduct","0.0",""
"9181","luxetelegram","1.0","gelukstelegram"
"9182","luxetrein","1.0",""
"9183","luxewagen","1.0",""
"9184","lyceum","1.0",""
"9185","lychee","2.0","vrucht"
"9186","lychee","2.1","smaak van lychee"
"9187","lymfeklier","",""
"9188","maag","1.0",""
"9189","maag-darmkanaal","0.0",""
"9190","maagdenvlies","1.0",""
"9191","maagkatheter","0.0",""
"9192","maagmond","1.0",""
"9193","maagpomp","0.0",""
"9194","maagslang","0.0",""
"9195","maagslijmvlies","0.0",""
"9196","maagsonde","1.0",""
"9197","maagtablet","0.0",""
"9198","maagwand","1.0",""
"9199","maai-dorsmachine","0.0",""
"9200","maaier","1.0",""
"9201","maaimachine","1.0",""
"9202","maaiveld","1.0",""
"9203","maal","2.1","voedsel"
"9204","maalsel","0.0",""
"9205","maalstroom","1.0",""
"9206","maaltijd","2.0","voedsel"
"9207","maaltijdcheque","1.0",""
"9208","maaltijdsalade","1.0","salade als hoofdmaaltijd"
"9209","maaltijdsoep","0.0",""
"9210","maan","1.0","hemellichaam dat om de aarde draait"
"9211","maan","2.0","hemellichaam dat om een planeet draait"
"9212","maanbrief","1.0","brief met een aanmaning"
"9213","maandageditie","1.0","krant op maandag"
"9214","maandagkrant","1.0","krant op maandag"
"9215","maandblad","1.0",""
"9216","maandkaart","0.0",""
"9217","maandkalender","0.0",""
"9218","maandrapport","0.0",""
"9219","maandverband","1.0",""
"9220","maanfoto","0.0",""
"9221","maankrater","1.0",""
"9222","maanlandschap","1.0",""
"9223","maanraket","0.0",""
"9224","maanring","1.0",""
"9225","maansatelliet","0.0",""
"9226","maartnummer","1.0","in maart verschenen tijdschriftnummer"
"9227","maartwind","1.0","wind die typisch is voor maart"
"9228","maasnaald","0.0",""
"9229","Maaswater","1.0","water van de rivier de Maas"
"9230","maaswerk","1.0",""
"9231","maatdop","0.0",""
"9232","maatje","2.2","maatbekertje; maatschepje"
"9233","maatje","3.0","nieuwe haring"
"9234","maatjesharing","1.0","nieuwe haring"
"9235","maatkostuum","1.0","maatpak"
"9236","maatpak","1.0",""
"9237","maatschets","1.0","schematische tekening met maatvoering"
"9238","maatstok","1.0",""
"9239","macadam","1.1","macadamweg"
"9240","macaroni","1.1","gerecht van gekookte macaroni"
"9241","machete","1.0","groot kapmes"
"9242","machine","1.0","toestel dat een werking verricht"
"9243","machine","2.0","mechanisch vervoermiddel"
"9244","machinegeweer","1.0",""
"9245","machinekamer","1.0",""
"9246","machinepistool","1.0",""
"9247","machinezetsel","0.0",""
"9248","machtigingskaart","0.0",""
"9249","machtsgebied","1.0",""
"9250","macram\u00E9","1.0","knoopwerk"
"9251","madame-jeanette","1.0","gele peper"
"9252","Madeira/madeira","1.0","Portugees eiland in de Atlantische Oceaan"
"9253","Madeira/madeira","2.0","autonome Portugese regio"
"9254","Madeira/madeira","3.0","versterkte, lang houdbare wijn uit Madeira"
"9255","madera","1.1","soort madera"
"9256","Madonnabeeld","0.0",""
"9257","magazijn","1.0",""
"9258","magneet","1.0",""
