"resultNumber","lemma","senseNumber","snippet"
"1805","brildragende","1.0","iemand die gewoonlijk een bril draagt"
"1806","brildrager","1.0","iemand die gewoonlijk een bril draagt"
"1807","brillenman","",""
"1808","Brit","1.0","iemand uit Groot-Brittanni\u00EB"
"1809","Brit","1.1","lid e.d. van een Britse club"
"1810","Britse","1.0","vrouw uit Groot-Brittanni\u00EB"
"1811","Brits-Indi\u00EBr","0.0",""
"1812","bro","1.0","maat"
"1813","brocanteur","0.0",""
"1814","broddelaar","0.0",""
"1815","broeder","1.0","mannelijke bloedverwant; broer"
"1816","broeder","2.0","mannelijke gelijkgezinde"
"1817","broeder","3.0","medegelovige"
"1818","broeder","4.0","verpleger"
"1819","broeder","4.1","ambulancebroeder"
"1820","broeder","5.0","kloosterling"
"1821","broekenman","1.0",""
"1822","broekventje","1.0","jong kind"
"1823","broekventje","2.0","man met weinig aanzien"
"1824","broekzakbeller","1.0","mobiele beller die per ongeluk iemand belt"
"1825","broer","1.0","mannelijke bloedverwant"
"1826","broer","1.1","vriend"
"1827","broker","1.0","effectenmakelaar"
"1828","broker","3.0","onderhandelaar"
"1829","brokkenmaker","1.0","iemand die ongelukken maakt"
"1830","brokkenmaker","1.1","onhandig persoon"
"1831","brokkenpiloot","1.0",""
"1832","Brokopondonees","2.0","iemand uit Brokopondo"
"1833","brombeer","1.0","mopperaar"
"1834","brombeer","2.0","man met een lage stem"
"1835","brommer","3.0","mopperaar"
"1836","brommer","4.0","iemand die brommend zingt"
"1837","brompot","0.0",""
"1838","bromsnor","1.0",""
"1839","bronzenmedaillewinnaar","1.0","(sport) winnaar van de bronzen medaille"
"1840","bronzenmedaillewinnaar","1.1","(algemener) winnaar van de bronzen medaille"
"1841","broodbakker","0.0",""
"1842","brooddief","1.0",""
"1843","broodheer","1.0",""
"1844","broodschrijver","1.0","schrijver om den brode"
"1845","brosser","1.0","spijbelaar"
"1846","brouwer","1.0",""
"1847","Bruggeling","1.0","iemand uit Brugge"
"1848","Bruggeling","1.1","lid e.d. van een club uit Brugge"
"1849","Bruggelinge","1.0","vrouw uit Brugge"
"1850","bruggenbouwer","1.0","bouwer van bruggen"
"1851","bruggenbouwer","2.0","verzoener"
"1852","bruggenman","1.0",""
"1853","brugklasser","1.0","leerling van de brugklas"
"1854","Brugse","1.0","vrouw uit Brugge"
"1855","brugwachter","1.0","iemand die bruggen bedient"
"1856","bruid","1.0","vrouw op haar huwelijksdag"
"1857","bruid","1.1","vrouw op huwelijksgedenkdag"
"1858","bruid","1.2","aanstaande echtgenote"
"1859","bruidegom","1.0","man op zijn huwelijksdag"
"1860","bruidegom","1.1","man op zijn trouwdag"
"1861","bruidegom","1.2","aanstaande echtgenoot"
"1862","bruidsjonker","0.0",""
"1863","bruidsmeisje","1.0",""
"1864","bruikleengever","1.0",""
"1865","bruiloftsgast","1.0",""
"1866","bruiloftsplanner","1.0","iemand die bruiloften organiseert"
"1867","bruinhemd","1.0",""
"1868","brulaap","2.0","iemand die brult"
"1869","brulouder","1.0","te fanatieke ouder aan de zijlijn"
"1870","brunette","1.0","vrouw met donkerbruin haar"
"1871","brus","1.0","broer of zus van iemand met beperking"
"1872","Brusselaar","1.0","iemand uit Brussel"
"1873","Brusselaar","1.1","lid e.d. van een club uit Brussel"
"1874","Brusselse","1.0","vrouw uit Brussel"
"1875","btw-plichtige","1.0","iemand die btw-plichtig is"
"1876","bubbelbreker","2.0","iemand die uit zijn eigen bubbel breekt"
"1877","buddy","1.0",""
"1878","budgetbeller","1.0","iemand die goedkoop belt"
"1879","budgetcoach","1.0","coach bij budgetproblemen"
"1880","buikmoeder","1.0","moeder die kinderen afstaat"
"1881","buikspreker","1.0","iemand die kan buikspreken"
"1882","buitelaar","1.0",""
"1883","buitenbeen","1.0",""
"1884","buitenkind","1.0","kind dat graag buiten is"
"1885","buitenkind","2.0","plattelandskind"
"1886","buitenkind","3.0","buitenechtelijk kind"
"1887","buitenlander","1.0","bezoeker uit het buitenland"
"1888","buitenlander","2.0","inwoner van vreemde komaf"
"1889","buitenlander","3.0","sporter uit het buitenland"
"1890","buitenlandexpert","",""
"1891","buitenlandredacteur","0.0",""
"1892","buitenlandspecialist","0.0",""
"1893","buitenlandwoordvoerder","0.0",""
"1894","buitenman","1.0",""
"1895","buitenspeler","1.0",""
"1896","buitenvrouw","1.0","ma\u00EEtresse"
"1897","buitenwipper","1.0","portier; uitsmijter"
"1898","buizer","0.0",""
"1899","bulderaar","0.0",""
"1900","buldog","2.0","barse persoon of instantie"
"1901","buldog","2.1","koppige persoon of instantie"
"1902","Bulgaar","1.0","iemand uit Bulgarije"
"1903","Bulgaarse","1.0","vrouw uit Bulgarije"
"1904","bullebak","1.0","norse kerel"
"1905","bullenbijter","2.0","barse man"
"1906","bultenaar","1.0","gebochelde"
"1907","bumperklever","1.0","automobilist die weinig afstand houdt"
"1908","bumpersurfer","1.0","iemand die bumpersurft"
"1909","bungeejumper","1.0","iemand die bungeejumpt"
"1910","burchtheer","0.0",""
"1911","bureauchef","1.0",""
"1912","bureaueigenaar","0.0",""
"1913","bureauredacteur","1.0",""
"1914","burgemeester","1.0","hoofd van een gemeente"
"1915","burgemeesteres","1.0","vrouwelijke burgemeester"
"1916","burgemeesterskandidaat","0.0",""
"1917","burger","1.0",""
"1918","burgerbuddy","1.0","buddy die politici informeert"
"1919","burgerdocent","1.0","niet-militair docent"
"1920","burgeres","0.0",""
"1921","burgerflipper","1.0","fastfoodmedewerker die o.a. hamburgers omdraait"
"1922","burgerhulpverlener","1.0","hulpverlener die vrijwillig actief is"
"1923","burgerjongen","0.0",""
"1924","burgerman","1.0",""
"1925","burgermeisje","0.0",""
"1926","burgerpoliticus","0.0",""
"1927","burgerpresident","0.0",""
"1928","burgerrechter","1.0",""
"1929","burgerslachtoffer","1.0",""
"1930","burgervader","1.0",""
"1931","burgervrouw","1.0",""
"1932","burgerwetenschapper","1.0","vrijwilliger die wetenschapper helpt"
"1933","burggravin","0.0",""
"1934","burn-outpati\u00EBnt","1.0","pati\u00EBnt met een burn-out"
"1935","bursaal","1.0","beursstudent"
"1936","bursaal","1.1","beurspromovendus"
"1937","bursaal","2.0","starter die een beurs ontvangt"
"1938","Burundees","2.0","iemand uit Burundi"
"1939","Burundese","1.0","vrouw uit Burundi"
"1940","buschauffeur","1.0","bestuurder van een bus"
"1941","busfabrikant","0.0",""
"1942","bushcrafter","1.0","iemand die (over)leeft in de vrije natuur"
"1943","buspassagier","1.0","passagier van een bus"
"1944","Bussumer","1.0","iemand uit Bussum"
"1945","Bussumer","1.1","lid e.d. van een club uit Bussum"
"1946","Bussumse","1.0","vrouw uit Bussum"
"1947","butler","1.0",""
"1948","buttkicker","1.0","iemand die een buttkick geeft"
"1949","buur","1.0",""
"1950","buurjongen","1.0","jongen die naast iemand woont"
"1951","buurkind","1.0","kind van de buren"
"1952","buurman","1.0","man die naast iemand woont"
"1953","buurman","1.1","man naast iemand"
"1954","buurmeisje","1.0","meisje dat naast iemand woont"
"1955","buurmeisje","1.1","meisje naast iemand"
"1956","buurtagent","1.0","agent in een bepaalde buurt"
"1957","buurtbemiddelaar","1.0","bemiddelaar in een buurt"
"1958","buurtbewoner","1.0","bewoner van een buurt"
"1959","buurtco\u00F6rdinator","1.0","agent in een bepaalde buurt"
"1960","buurtco\u00F6rdinator","2.0","co\u00F6rdinator in de buurt"
"1961","buurtgenoot","1.0",""
"1962","buurtkind","1.0","kind uit de buurt"
"1963","buurtpreventist","1.0","iemand belast met buurtpreventie"
"1964","buurtregisseur","1.0","agent in een bepaalde buurt"
"1965","buurtschrijver","1.0","iemand die stukken schrijft voor anderen"
"1966","buurtvader","1.0","vader die toezicht houdt in de buurt"
"1967","buurtwerker","1.0",""
"1968","buurvrouw","1.0","vrouw die naast iemand woont"
"1969","buurvrouw","1.1","vrouw naast iemand"
"1970","bvz-pati\u00EBnt","0.0",""
"1971","cabaretier","1.0","cabaretartiest; kleinkunstenaar"
"1972","cabareti\u00E8re","1.0","vrouwelijke cabaretier"
"1973","cabinetard","1.0","kabinetsmedewerker"
"1974","cacaoboer","1.0",""
"1975","cadet","1.0","officier in opleiding"
"1976","cadet","3.0","jonge competitiesporter"
"1977","caf\u00E9baas","0.0",""
"1978","caf\u00E9bezoeker","1.0",""
"1979","caf\u00E9-eigenaar","1.0",""
"1980","caf\u00E9-uitbater","0.0",""
"1981","Cajun/cajun","1.0","Frans-Canadese kolonist"
"1982","Calabrees","2.0","iemand uit Calabri\u00EB"
"1983","Calabrese","1.0","vrouw uit Calabri\u00EB"
"1984","calculator","1.0","prijsberekenaar"
"1985","callgirl","1.0","prostituee"
"1986","calvinist","1.0",""
"1987","cambiohouder","1.0","houder van een wisselkantoor"
"1988","Cambodjaan","1.0","iemand uit Cambodja"
"1989","Cambodjaanse","1.0","vrouw uit Cambodja"
"1990","camerafabrikant","0.0",""
"1991","camerajournalist","1.0","journalist die met een camera werkt"
"1992","cameraman","1.0",""
"1993","cameravrouw","0.0",""
"1994","camioneur","1.0","vrachtwagenchauffeur"
"1995","camjo","1.0","camerajournalist"
"1996","campagneadviseur","0.0",""
"1997","campagnechef","0.0",""
"1998","campagneco\u00F6rdinator","0.0",""
"1999","campagneleider","1.0","leider van een campagne"
"2000","campagneleidster","0.0",""
"2001","campagnemanager","1.0","manager, leider van een verkiezingscampagne"
