"resultNumber","lemma","senseNumber","snippet"
"432","uitverkoop","1.2","ontslag of goedkope overplaatsing"
"433","uitverkoop","2.0","opheffingsuitverkoop"
"434","uitverkoop","3.0","verkwanseling"
"435","uitverkoop","4.0","het opzijzetten van idealen voor succes"
"436","verbranding","1.0","vernietiging door vuur of hitte"
"437","verbranding","1.1","crematie"
"438","verbranding","2.0","verwonding door verbranden"
"439","verbranding","3.0","verschroeiing of verdorring"
"440","verbranding","4.0","chemisch proces van het verbranden"
"441","verbranding","5.0","het verbranden van voedingsstoffen"
"442","vliegtijd","1.0","tijdsduur van een vlucht"
"443","vliegtijd","2.0","tijd besteed aan vliegen"
"444","vliegtijd","3.0","vluchttijdstip"
"445","vliegtijd","4.0","maximale vliegduur van een toestel"
"446","vliegtijd","5.0","tijd besteed aan vliegen door een dier"
"447","vliegtijd","6.0","uitvliegperiode van dieren"
"448","voorverkoop","1.0","eerdere verkoop van toegangskaarten"
"449","voorverkoop","2.0","eerdere verkoop van vervoersbewijzen"
"450","voorverkoop","3.0","eerdere verkoop van andere zaken"
"451","voorverkoop","4.0","verkoop v\u00F3\u00F3r de offici\u00EBle presentatie"
"452","voorverkoop","5.0","verkoop v\u00F3\u00F3r een uitverkoop"
"453","voorverkoop","6.0","duurdere verkoop v\u00F3\u00F3r de normale verkoop"
"454","winterseizoen","1.0","seizoen van de winter"
"455","winterseizoen","1.1","periode van de winter in een bepaald jaar"
"456","winterseizoen","2.0","winterperiode met sportactiviteit"
"457","winterseizoen","3.0","winterperiode met culturele evenementen"
"458","winterseizoen","4.0","winterperiode met toeristische activiteit"
"459","winterseizoen","5.0","winterperiode als verkoopperiode"
"460","zomerseizoen","1.0","seizoen van de zomer"
"461","zomerseizoen","1.1","periode van de zomer in een bepaald jaar"
"462","zomerseizoen","2.0","zomerperiode met sportactiviteit"
"463","zomerseizoen","3.0","zomerperiode met culturele evenementen"
"464","zomerseizoen","4.0","zomerperiode met toeristische activiteit"
"465","zomerseizoen","5.0","zomerperiode als verkoopperiode"
"466","appel","B.1.0","hoger beroep"
"467","appel","B.2.0","beroep tegen een beslissing"
"468","appel","B.3.0","oproep tot verzameling"
"469","appel","B.3.1","het terugroepen van een hond"
"470","appel","B.4.0","dringend verzoek"
"471","avond","1.0","deel van de dag voor de nacht"
"472","avond","1.1","avond doorgebracht op specifieke wijze"
"473","avond","1.2","periode van de ouderdom"
"474","avond","2.0","bijeenkomst 's avonds"
"475","avond","3.0","avondpartij"
"476","beschermengel","1.0","engel die beschermt"
"477","beschermengel","2.0","persoon die beschermt"
"478","beschermengel","2.1","bodyguard"
"479","beschermengel","3.0","iets wat beschermt"
"480","beschermengel","3.1","systeem dat beschermt"
"481","boekenbank","1.0","instelling die boeken verstrekt"
"482","boekenbank","2.0","instelling die boeken verkoopt"
"483","boekenbank","3.0","database voor boeken"
"484","boekenbank","4.0","instelling die schoolboeken verstrekt"
"485","boekenbank","5.0","zitbank met ruimte voor boeken"
"486","deeltijd","1.0","niet-voltijdse arbeidstijd of studietijd"
"487","deeltijd","2.0","tijd nodig voor een deelhandeling"
"488","deeltijd","3.0","deel van een wedstrijdtijd"
"489","deeltijd","4.0","deelperiode"
"490","deeltijd","5.0","tijdstip voor medicatie-uitdeling"
"491","depressie","1.0","onderdrukking of verlaging"
"492","depressie","2.0","lagedrukgebied"
"493","depressie","3.0","ziekelijke neerslachtigheid"
"494","depressie","3.1","collectief pessimisme"
"495","depressie","4.0","langdurige en diepe recessie"
"496","dienstperiode","1.0","werkperiode bij \u00E9\u00E9n werkgever"
"497","dienstperiode","2.0","werkperiode in een dienstrooster"
"498","dienstperiode","3.0","werkperiode bij een korps"
"499","dienstperiode","4.0","dienstplichttijd"
"500","dienstperiode","5.0","periode waarin iets in gebruik is"
"501","docent","1.2","beroep van docent"
"502","docent","3.5","functie of rang van docent"
"503","docent","3.6","functie/rang docent Nederland"
"504","docent","3.7","functie/rang docent Vlaanderen"
"505","docent","3.8","functie/rang universitair docent Nederland"
"506","EBA/eba","1.0","eenmansvennootschap"
"507","EBA/eba","2.0","European Banking Authority"
"508","EBA/eba","3.0","Euro Banking Association"
"509","EBA/eba","4.0","European Boxing Association"
"510","EBA/eba","5.0","Everything But Arms"
"511","gang","A.1.0","manier van gaan"
"512","gang","A.1.1","snelheid"
"513","gang","A.2.0","het gaan naar"
"514","gang","A.3.0","voortgang"
"515","gang","A.4.0","onderdeel van een maaltijd"
"516","gouvernement","1.0","bestuur, regering, overheid"
"517","gouvernement","2.0","overheid van een ver rijksgebied"
"518","gouvernement","3.0","provinciebestuur"
"519","gouvernement","4.0","militair bestuur over een stad of zone"
"520","gouvernement","5.0","provincie in voormalig Nederlands-Indi\u00EB"
"521","groeimogelijkheid","1.0","mogelijkheid om in belang toe te nemen"
"522","groeimogelijkheid","2.0","mogelijkheid om in omvang toe te nemen"
"523","groeimogelijkheid","3.0","mogelijkheid om ergens te groeien"
"524","groeimogelijkheid","4.0","mogelijkheid om carri\u00E8re te maken"
"525","groeimogelijkheid","5.0","mogelijkheid om zich te ontwikkelen"
"526","hbo/HBO","1.0","hoger beroepsonderwijs"
"527","hbo/HBO","1.1","opleiding in het hoger beroepsonderwijs"
"528","hbo/HBO","2.0","school voor hoger beroepsonderwijs"
"529","hbo/HBO","3.0","Home Box Office"
"530","hbo/HBO","4.0","Het Brabants Orkest"
"531","hijs","1.0","hijshandeling"
"532","hijs","1.1","hoeveelheid"
"533","hijs","1.3","karwei"
"534","hijs","2.0","haal"
"535","hijs","3.0","vuistslag"
"536","introductieperiode","1.0","periode waarin iets wordt ge\u00EFntroduceerd"
