"resultNumber","lemma","senseNumber","snippet"
"409","bioscooppubliek","1.0",""
"410","biovoedsel","1.0","voedsel uit biologische grondstoffen"
"411","bipoc","2.0","zwart, inheems of gekleurd persoon"
"412","bizon","1.1","diersoort der bizons"
"413","blaasorkest","1.0",""
"414","bladgroen","3.0","gebladerte"
"415","bladversiering","0.0",""
"416","bladvoeding","1.0",""
"417","blank","",""
"418","blikvoedsel","0.0",""
"419","blikwerk","0.0",""
"420","blindenbibliotheek","1.0",""
"421","blingbling","1.0","opzichtige gebruiksvoorwerpen"
"422","bloatware","1.0","overbodige of ongewenste software"
"423","bloedgroep","1.0",""
"424","bloedluis","1.1","verzameling mijten"
"425","bloem","5.0","het beste; de besten"
"426","bloemenzee","0.0",""
"427","bloemkool","1.2","<i>bloemkolen</i> als handelswaar"
"428","bloemlezing","1.0",""
"429","blogosfeer","1.0","geheel van weblogs en bloggers"
"430","blok","A.1.0",""
"431","blok","",""
"432","blokkeringsminderheid","0.0",""
"433","bobsleebond","0.0",""
"434","bobsleeploeg","0.0",""
"435","bodemschat","1.0",""
"436","bodemsoort","0.0",""
"437","boekenbranche","1.0",""
"438","boekenclub","1.0",""
"439","boekenkennis","0.0",""
"440","boekenreeks","0.0",""
"441","boekenverzameling","1.0",""
"442","boeket","1.1","bloemen voor een boeket"
"443","boeket","1.2","mengeling"
"444","boekhandelsgroep","0.0",""
"445","boekverkopersbond","0.0",""
"446","boel","1.0",""
"447","boerenbevolking","1.0",""
"448","boerenbond","1.0",""
"449","boerenfamilie","1.0",""
"450","boerengemeenschap","0.0",""
"451","boerengezin","1.0",""
"452","boerenvolk","0.0",""
"453","boerinnenbond","0.0",""
"454","boevenbende","0.0",""
"455","boilerroom","1.0","organisatie van financi\u00EBle oplichters"
"456","bokking","2.0","gerookte haring"
"457","boksbond","1.0","belangenvereniging voor boksers"
"458","boksploeg","0.0",""
"459","bond","1.0",""
"460","bondsapparaat","0.0",""
"461","bondsbestuur","1.0",""
"462","Bondsdagfractie","",""
"463","bondselftal","0.0",""
"464","bondsleiding","0.0",""
"465","bondsploeg","0.0",""
"466","bonobo","1.1","diersoort der bonobo's"
"467","boomgroep","1.0",""
"468","boomsoort","1.0",""
"469","boot","A.1.5","opvarenden"
"470","boots on the ground","1.0","troepen ter plaatse"
"471","boots on the ground","2.0","mensen die op locatie actief zijn"
"472","bos/BOS","A.1.0","terrein met bomen"
"473","bos/BOS","A.2.0","bundel"
"474","bospolitie","0.0",""
"475","bosschage","1.0",""
"476","boterbloem","1.1","bloemengeslacht van de boterbloemen"
"477","boterbloem","1.2","bloemensoort van de eigenlijke boterbloemen"
"478","botervis","1.0","type vis"
"479","bouwafval","1.0",""
"480","bouwbond","1.0",""
"481","bouwbranche","0.0",""
"482","bouwcommissie","1.0",""
"483","bouwgroep","1.0",""
"484","bouwkartel","0.0",""
"485","bouwmaterialengroep","0.0",""
"486","bouwpolitie","1.0",""
"487","bouwvak","B.1.0","geheel van beroepen in de bouw"
"488","bouwvak","B.1.1","vak binnen de bouwsector"
"489","bouwvereniging","0.0",""
"490","bovenkleding","1.0",""
"491","boyband","1.0","muziekgroep met jongens"
"492","B-ploeg","0.0",""
"493","braam","2.1","braamstruiken of braamsoorten"
"494","branche","1.0",""
"495","branchevereniging","1.0",""
"496","brandblusapparatuur","0.0",""
"497","brandhout","1.0",""
"498","brandweer","1.1","groep brandweermannen"
"499","brandweerpeloton","1.0","brandweereenheid bij grote branden"
"500","brandweerpersoneel","0.0",""
"501","bric-\u00E0-brac","1.0","verzameling snuisterijen"
"502","bric-\u00E0-brac","2.0","waardeloze spullen; prullaria"
"503","bridgebond","0.0",""
"504","bridgeclub","1.0","bridgevereniging"
"505","bridgeteam","0.0",""
"506","brocante","0.0",""
"507","broccolihaar","1.0","haar in broccolivorm"
"508","broederpaar","0.0",""
"509","broedervolk","1.0",""
"510","broedpaar","1.0",""
"511","broedsel","1.0",""
"512","broer","1.3","verwante natuurlijke soort"
"513","brol","1.0","rommel"
"514","brol","2.0","ondeugdelijke waar"
"515","brol","3.0","pulp"
"516","bronchi\u00EBn","1.0","luchtpijpvertakkingen"
"517","brood","1.0","voedsel dat bestaat uit gebakken brooddeeg"
"518","broodsoort","1.0",""
"519","brousse","1.0",""
"520","brouwerijgroep","1.0",""
"521","bruidskleding","0.0",""
"522","bruidspaar","1.0",""
"523","bruidsschat","1.0",""
"524","B-team","0.0",""
"525","bucht","1.0","rommel"
"526","buffervoorraad","1.0",""
"527","buit","1.0",""
"528","buitencategorie","1.0",""
"529","buitenlandcommissie","0.0",""
"530","buitenlandredactie","0.0",""
"531","bullen","1.0","spullen"
"532","bundel","1.0","samengebonden zaken"
"533","bundel","2.0","boek"
"534","bundel","3.0","verzameling lijnen"
"535","burgerbestuur","1.0",""
"536","burgerbevolking","1.0",""
"537","burgercomit\u00E9","0.0",""
"538","burgergroepering","0.0",""
"539","burgerij","1.0",""
"540","burgerkleding","1.0",""
"541","burgerkleren","0.0",""
"542","burgerpersoneel","1.0",""
"543","burgerpolitie","1.0",""
"544","burgerregering","1.0",""
"545","burgersamenleving","0.0",""
"546","bus","7.4","groepje achterblijvende wielrenners"
"547","bushcraft","1.0","het overleven in de vrije natuur"
"548","businessclub","1.0","club van ondernemers"
"549","buurtcomit\u00E9","1.0",""
"550","buurthuis","1.1","instelling"
"551","buurtvereniging","1.0","belangenvereniging van buurtbewoners"
"552","cabaretduo","0.0",""
"553","cabaretgezelschap","0.0",""
"554","cabaretgroep","1.0",""
"555","cabinepersoneel","1.0",""
"556","cacao","1.0","cacaobonen"
"557","caf\u00E9 complet","1.0","aangeklede koffie"
"558","cake","1.1","cake als stofnaam"
"559","calpoltablet","1.0","tablet paracetamol"
"560","cameraploeg","1.0",""
"561","camerateam","1.0",""
"562","campagne","1.0",""
"563","campagneleiding","0.0",""
"564","campagneteam","1.0",""
"565","campervereniging","1.0",""
"566","campingelftal","1.0",""
"567","canaille","1.0","gemeen volk"
"568","canon","2.0","erkende religieuze teksten"
"569","canon","3.0","verzameling kennis"
